ANO4,TRIMESTRE,FECHA,PERIODO,AGLOMERADO,AGLOMERADO_NOMBRE,poblacion_ponderada,pea_ponderada,ocupados_ponderados,desocupados_ponderados,tasa_actividad,tasa_empleo,tasa_desocupacion,casos
2016,2,2016-04-01,2016T2,17,Neuquen-Plottier,291088,134549,122914,11635,46.22279173308415,42.22571868300995,8.647407264268036,1086
2016,3,2016-07-01,2016T3,17,Neuquen-Plottier,291552,127532,124361,3171,43.74245417627044,42.654826583251015,2.486434777153969,1047
2016,4,2016-10-01,2016T4,17,Neuquen-Plottier,293113,123379,115083,8296,42.09264003984811,39.26233227458352,6.723996790377616,1111
2017,1,2017-01-01,2017T1,17,Neuquen-Plottier,294122,121888,115799,6089,41.441306668661305,39.37107730805584,4.995569703334208,1112
2017,2,2017-04-01,2017T2,17,Neuquen-Plottier,295163,128370,118741,9629,43.49122349345954,40.22895823663535,7.50097374776038,1177
2017,3,2017-07-01,2017T3,17,Neuquen-Plottier,296069,136052,127558,8494,45.952801542883584,43.08387571816029,6.243201128980096,1102
2017,4,2017-10-01,2017T4,17,Neuquen-Plottier,297076,133097,125436,7661,44.802340141916545,42.22353875775895,5.755952425674508,1102
2018,1,2018-01-01,2018T1,17,Neuquen-Plottier,298189,129952,122802,7150,43.58041376442458,41.182605662851415,5.502031519330215,1097
2018,2,2018-04-01,2018T2,17,Neuquen-Plottier,299063,141048,135074,5974,47.16330672801383,45.16573431016207,4.235437581532528,1093
2018,3,2018-07-01,2018T3,17,Neuquen-Plottier,300162,127808,121037,6771,42.5796736428995,40.32389176511351,5.29779043565348,1173
2018,4,2018-10-01,2018T4,17,Neuquen-Plottier,301196,132803,126470,6333,44.091887010451664,41.98926944580938,4.768717574151187,1133
2019,1,2019-01-01,2019T1,17,Neuquen-Plottier,302161,135672,130933,4739,44.90056625441404,43.332197073745455,3.49298307683236,1037
2019,2,2019-04-01,2019T2,17,Neuquen-Plottier,303162,146440,138552,7888,48.304206991641436,45.70229778138421,5.386506419011199,1144
2019,3,2019-07-01,2019T3,17,Neuquen-Plottier,304239,140923,132166,8757,46.31983407781382,43.44150486952692,6.214031776218219,1190
2019,4,2019-10-01,2019T4,17,Neuquen-Plottier,305257,139423,131407,8016,45.67397307842244,43.047989071503686,5.749410068640038,1163
2020,1,2020-01-01,2020T1,17,Neuquen-Plottier,305884,137384,128421,8963,44.91375815668685,41.98356239620249,6.524049379840448,990
2020,2,2020-04-01,2020T2,17,Neuquen-Plottier,306957,120048,103901,16147,39.10906087823376,33.848714966591416,13.450453152072505,543
2020,3,2020-07-01,2020T3,17,Neuquen-Plottier,306716,139526,124306,15220,45.490290692366884,40.528045488334485,10.90836116566088,900
2020,4,2020-10-01,2020T4,17,Neuquen-Plottier,308731,138508,126916,11592,44.86365152835316,41.10892654122845,8.369191671239207,829
2021,1,2021-01-01,2021T1,17,Neuquen-Plottier,308055,134856,120116,14740,43.77659833471296,38.99173848825696,10.930177374384527,1120
2021,2,2021-04-01,2021T2,17,Neuquen-Plottier,311055,135821,124699,11122,43.66462522704988,40.089051775409494,8.188718975710678,1186
2021,3,2021-07-01,2021T3,17,Neuquen-Plottier,311976,140892,131053,9839,45.1611662435572,42.007398004974746,6.983363143400618,1101
2021,4,2021-10-01,2021T4,17,Neuquen-Plottier,313009,143180,134744,8436,45.743093649064406,43.047963477088516,5.891884341388462,1154
2022,1,2022-01-01,2022T1,17,Neuquen-Plottier,313969,147498,136574,10924,46.97852335740153,43.49919896550296,7.40620211799482,1186
2022,2,2022-04-01,2022T2,17,Neuquen-Plottier,314577,147305,135803,11502,46.82637319320866,43.17003468149292,7.808288924340653,1140
2022,3,2022-07-01,2022T3,17,Neuquen-Plottier,313937,141525,134807,6718,45.08070090495864,42.94078111213396,4.746864511570394,1032
2022,4,2022-10-01,2022T4,17,Neuquen-Plottier,316563,143640,135119,8521,45.37485429440585,42.68313100393918,5.932191590086327,1079
2023,1,2023-01-01,2023T1,17,Neuquen-Plottier,317782,155950,146691,9259,49.07452278606089,46.16089016999075,5.937159345944213,1183
2023,2,2023-04-01,2023T2,17,Neuquen-Plottier,318663,150887,142504,8383,47.350021809874384,44.71934300499274,5.555813290740753,1273
2023,3,2023-07-01,2023T3,17,Neuquen-Plottier,319319,153091,144512,8579,47.942966124784306,45.25631108703209,5.603856529776408,1265
2023,4,2023-10-01,2023T4,17,Neuquen-Plottier,320328,160846,155014,5832,50.212906770560174,48.39227292025674,3.6258284321649277,1181
2024,1,2024-01-01,2024T1,17,Neuquen-Plottier,321479,163565,153090,10475,50.878906553771785,47.620528868137576,6.404181823739798,1160
2024,2,2024-04-01,2024T2,17,Neuquen-Plottier,322002,155361,145531,9830,48.24845808411128,45.19568201439743,6.327199232754681,1178
2024,3,2024-07-01,2024T3,17,Neuquen-Plottier,321425,151347,142535,8812,47.08625651396127,44.344714941277125,5.822381679187562,1183
2024,4,2024-10-01,2024T4,17,Neuquen-Plottier,324095,160217,154018,6199,49.43519647017078,47.52248569092396,3.8691274958337756,1210
2025,1,2025-01-01,2025T1,17,Neuquen-Plottier,324928,153076,142844,10232,47.110744534173726,43.96173921607248,6.684261412631634,1155
2025,2,2025-04-01,2025T2,17,Neuquen-Plottier,326049,153005,147120,5885,46.92699563562532,45.12205220687688,3.8462795333485835,1023
2025,3,2025-07-01,2025T3,17,Neuquen-Plottier,326734,147830,142895,4935,45.2447556728103,43.73435271505261,3.338293986335656,1045
2025,4,2025-10-01,2025T4,17,Neuquen-Plottier,327627,149662,146291,3371,45.68060629923663,44.65169232084047,2.2524087610749555,1022
2016,2,2016-04-01,2016T2,34,Mar del Plata,619159,283691,250717,32974,45.81876383933691,40.49315280889077,11.623209759914836,1283
2016,3,2016-07-01,2016T3,34,Mar del Plata,617679,281425,247296,34129,45.56169142871945,40.03632954981471,12.127209736164165,1305
2016,4,2016-10-01,2016T4,34,Mar del Plata,622104,294052,262988,31064,47.267337937065186,42.27396062394712,10.56411791111776,1253
2017,1,2017-01-01,2017T1,34,Mar del Plata,622888,287501,257594,29907,46.15613079718987,41.35478609316603,10.402398600352694,1217
2017,2,2017-04-01,2017T2,34,Mar del Plata,624720,285088,251044,34044,45.63452426687156,40.18504289921885,11.941575934448311,1129
2017,3,2017-07-01,2017T3,34,Mar del Plata,625166,290618,264587,26031,46.48653317678825,42.32267909643198,8.95711896716652,1210
2017,4,2017-10-01,2017T4,34,Mar del Plata,627528,306259,277814,28445,48.80403742940554,44.271171963641464,9.28789031506013,1233
2018,1,2018-01-01,2018T1,34,Mar del Plata,627834,322274,294734,27540,51.331084331208565,46.94457452129066,8.545523374519819,1213
2018,2,2018-04-01,2018T2,34,Mar del Plata,632085,297249,272862,24387,47.0267448207124,43.16856119034623,8.20423281491275,1243
2018,3,2018-07-01,2018T3,34,Mar del Plata,632992,308409,271930,36479,48.72241671300743,42.95946868206865,11.828124341377846,1190
2018,4,2018-10-01,2018T4,34,Mar del Plata,633456,309432,269882,39550,48.848223081003255,42.604695511606174,12.781483492334342,1217
2019,1,2019-01-01,2019T1,34,Mar del Plata,636611,319851,287576,32275,50.242769917579174,45.17295491281175,10.09063595236532,1300
2019,2,2019-04-01,2019T2,34,Mar del Plata,636734,313733,271665,42068,49.27222356588465,42.6653830327892,13.408854025556764,1326
2019,3,2019-07-01,2019T3,34,Mar del Plata,635905,323478,290461,33017,50.868919099551036,45.67679134461909,10.206876510921918,1175
2019,4,2019-10-01,2019T4,34,Mar del Plata,641039,323320,287385,35935,50.43686889565221,44.83112571934001,11.114375850550537,1098
2020,1,2020-01-01,2020T1,34,Mar del Plata,640555,313582,280969,32613,48.95473456611845,43.86336848514179,10.400150518843557,1057
2020,2,2020-04-01,2020T2,34,Mar del Plata,643010,249561,184594,64967,38.81137151832787,28.70779614624967,26.032513092991294,634
2020,3,2020-07-01,2020T3,34,Mar del Plata,644537,269009,233651,35358,41.736781596712056,36.25098326395537,13.143798162886744,532
2020,4,2020-10-01,2020T4,34,Mar del Plata,644403,308863,274607,34256,47.93009964261495,42.614171566550745,11.091001511997229,764
2021,1,2021-01-01,2021T1,34,Mar del Plata,645309,307875,278907,28968,47.70970186375829,43.220689623110786,9.409013398294762,945
2021,2,2021-04-01,2021T2,34,Mar del Plata,645536,283355,250415,32940,43.89453105636246,38.791794725623355,11.624993382858957,991
2021,3,2021-07-01,2021T3,34,Mar del Plata,647420,295421,264835,30586,45.63050261036112,40.906212350560686,10.35336011996439,1018
2021,4,2021-10-01,2021T4,34,Mar del Plata,648657,325557,298119,27438,50.18939131158686,45.959420772457555,8.428017213575503,1041
2022,1,2022-01-01,2022T1,34,Mar del Plata,652632,323387,304598,18789,49.55120190245039,46.67224408242317,5.810066576578526,1001
2022,2,2022-04-01,2022T2,34,Mar del Plata,651838,311311,284413,26898,47.75895237773803,43.63246696265023,8.640234363707032,989
2022,3,2022-07-01,2022T3,34,Mar del Plata,654884,307455,285952,21503,46.9480091130643,43.66452684750276,6.993869021482818,1018
2022,4,2022-10-01,2022T4,34,Mar del Plata,656435,319530,291518,28012,48.67656355922521,44.40927129114078,8.766625981910932,939
2023,1,2023-01-01,2023T1,34,Mar del Plata,656105,323993,308263,15730,49.38127281456474,46.983790704231794,4.855043164512813,1020
2023,2,2023-04-01,2023T2,34,Mar del Plata,658514,317489,291224,26265,48.21294611807797,44.22442043753056,8.272727559065038,969
2023,3,2023-07-01,2023T3,34,Mar del Plata,660182,333480,309617,23863,50.51334329018362,46.89873398547673,7.1557514693534845,1032
2023,4,2023-10-01,2023T4,34,Mar del Plata,661434,348211,315942,32269,52.64485950223303,47.766217037527554,9.267082315033125,965
2024,1,2024-01-01,2024T1,34,Mar del Plata,662683,330189,310699,19490,49.82608577555181,46.885011385534256,5.902679980253733,971
2024,2,2024-04-01,2024T2,34,Mar del Plata,662347,326465,305518,20947,49.289118845559805,46.12657715668676,6.416308026894154,945
2024,3,2024-07-01,2024T3,34,Mar del Plata,664697,334879,306791,28088,50.3806997774926,46.15501499179325,8.387507129440783,925
2024,4,2024-10-01,2024T4,34,Mar del Plata,665525,340160,310877,29283,51.11152849254348,46.71154351827504,8.608595954844779,906
2025,1,2025-01-01,2025T1,34,Mar del Plata,667084,333665,313708,19957,50.01843845752559,47.02676124745909,5.981148756986798,804
2025,2,2025-04-01,2025T2,34,Mar del Plata,665655,322071,301875,20196,48.38407283052032,45.35006872929671,6.2706670268356985,912
2025,3,2025-07-01,2025T3,34,Mar del Plata,669379,337748,314698,23050,50.45691603710305,47.01342587682016,6.824614801568033,855
2025,4,2025-10-01,2025T4,34,Mar del Plata,670622,349839,316748,33091,52.166347062875964,47.23197270593568,9.45892253293658,853
