variable,categoria,anio,aglomerado,tasa_actividad,tasa_empleo,tasa_desocupacion,casos
SEXO,Mujer,2016,Mar del Plata,38.5571934617236,33.63054953283332,12.77749619868221,2010
SEXO,Varon,2016,Mar del Plata,54.618145073068845,48.949022102226465,10.37955969258597,1831
SEXO,Mujer,2016,Neuquen-Plottier,37.10289965529785,35.24947601808387,4.995360617183807,1707
SEXO,Varon,2016,Neuquen-Plottier,51.727087133520975,48.21372053973738,6.792121475378443,1537
SEXO,Mujer,2017,Mar del Plata,39.19091894033295,34.995828318812485,10.704241530818344,2557
SEXO,Varon,2017,Mar del Plata,55.42849458589506,50.07391824967067,9.660331524838094,2232
SEXO,Mujer,2017,Neuquen-Plottier,36.479913141487685,34.32632517986564,5.903489828140029,2293
SEXO,Varon,2017,Neuquen-Plottier,51.70875206881702,48.44689560710376,6.308132243014097,2200
SEXO,Mujer,2018,Mar del Plata,42.511684632171,37.73984491408546,11.224772105301184,2586
SEXO,Varon,2018,Mar del Plata,56.22244006264404,50.82937891420352,9.592364085286025,2277
SEXO,Mujer,2018,Neuquen-Plottier,36.65382628634783,35.08526306506073,4.279398306286334,2382
SEXO,Varon,2018,Neuquen-Plottier,53.02519010563592,50.13891993740619,5.443205696160177,2114
SEXO,Mujer,2019,Mar del Plata,44.34443928272786,39.11333271392735,11.796533349871522,2590
SEXO,Varon,2019,Mar del Plata,56.74952735215957,50.6978921317206,10.663763211428186,2309
SEXO,Mujer,2019,Neuquen-Plottier,38.38384939388513,36.71896045655203,4.3374725662568006,2393
SEXO,Varon,2019,Neuquen-Plottier,55.17765894651545,51.91053659184023,5.921096358658669,2141
SEXO,Mujer,2020,Mar del Plata,39.328235675536774,33.94290085414155,13.693303879240753,1603
SEXO,Varon,2020,Mar del Plata,49.807148513070054,42.099329659740114,15.475326501189496,1384
SEXO,Mujer,2020,Neuquen-Plottier,38.00756492487389,35.542464719739506,6.485814626658993,1737
SEXO,Varon,2020,Neuquen-Plottier,49.493039120843804,43.4054917135579,12.299805215885726,1525
SEXO,Mujer,2021,Mar del Plata,40.89096145361913,36.16713078658841,11.552261182190007,2044
SEXO,Varon,2021,Mar del Plata,53.31376463327596,48.772570990850504,8.517863395433634,1951
SEXO,Mujer,2021,Neuquen-Plottier,37.84856902410165,35.28274666379818,6.779179309710694,2388
SEXO,Varon,2021,Neuquen-Plottier,51.55530208076296,46.9932460588392,8.848859065508247,2173
SEXO,Mujer,2022,Mar del Plata,41.671154337007565,38.168484603479286,8.405502053533494,2042
SEXO,Varon,2022,Mar del Plata,55.29203958347054,51.50532881878842,6.8485640848274185,1905
SEXO,Mujer,2022,Neuquen-Plottier,39.544551949543255,37.048899109945275,6.310990304763861,2278
SEXO,Varon,2022,Neuquen-Plottier,52.80585744450889,49.30150426593728,6.636296328024133,2159
SEXO,Mujer,2023,Mar del Plata,44.177396595011636,39.614712188685466,10.328097076778334,2043
SEXO,Varon,2023,Mar del Plata,56.641667845856325,53.82073172649089,4.980319659799366,1943
SEXO,Mujer,2023,Neuquen-Plottier,43.15166936540982,40.69303724265556,5.697652394243381,2543
SEXO,Varon,2023,Neuquen-Plottier,54.323483769409954,51.75673393431287,4.72493598899568,2359
SEXO,Mujer,2024,Mar del Plata,44.905610653317986,41.10186303480077,8.470539790412948,1939
SEXO,Varon,2024,Mar del Plata,55.777355920142504,52.22259414356528,6.373127083446992,1808
SEXO,Mujer,2024,Neuquen-Plottier,43.467760156817725,41.407237553203835,4.740346859788007,2469
SEXO,Varon,2024,Neuquen-Plottier,54.53923116599603,51.09760194834796,6.3103735495887365,2262
SEXO,Mujer,2025,Mar del Plata,44.81298972548957,41.27310715466913,7.899233218994464,1750
SEXO,Varon,2025,Mar del Plata,56.09041566386851,52.42023252265155,6.5433338258913345,1674
SEXO,Mujer,2025,Neuquen-Plottier,40.983806969538264,39.967459992846024,2.479874496402083,2175
SEXO,Varon,2025,Neuquen-Plottier,51.65572701857122,48.903727466632645,5.3275787812436946,2070
GRUPO_EDAD,0-13,2016,Mar del Plata,0.13081899041238304,0.13081899041238304,0.0,721
GRUPO_EDAD,14-24,2016,Mar del Plata,41.13356863614061,26.990709232205884,34.38276782897117,656
GRUPO_EDAD,25-34,2016,Mar del Plata,81.79102633680579,75.0031988916392,8.298987980924844,473
GRUPO_EDAD,35-49,2016,Mar del Plata,84.09388411859356,79.03786133884,6.012354920630479,704
GRUPO_EDAD,50-64,2016,Mar del Plata,66.3249359053013,60.71721483509742,8.45492120521696,634
GRUPO_EDAD,65+,2016,Mar del Plata,16.26220484480461,15.154446479668735,6.81185839009882,653
GRUPO_EDAD,0-13,2016,Neuquen-Plottier,0.0,0.0,,678
GRUPO_EDAD,14-24,2016,Neuquen-Plottier,30.420763651326897,25.56211346062903,15.971493176128563,616
GRUPO_EDAD,25-34,2016,Neuquen-Plottier,73.98970799780517,67.55424063116371,8.697787220396055,497
GRUPO_EDAD,35-49,2016,Neuquen-Plottier,86.64336108815864,83.53969363757707,3.5821180198949496,588
GRUPO_EDAD,50-64,2016,Neuquen-Plottier,58.87106342029291,57.79736089323614,1.8238205065048478,552
GRUPO_EDAD,65+,2016,Neuquen-Plottier,11.771294170353363,11.771294170353363,0.0,313
GRUPO_EDAD,0-13,2017,Mar del Plata,0.0,0.0,,913
GRUPO_EDAD,14-24,2017,Mar del Plata,42.43899751030693,31.414466268916907,25.977360183196012,767
GRUPO_EDAD,25-34,2017,Mar del Plata,85.07185922726165,74.95540807352282,11.891654003603783,554
GRUPO_EDAD,35-49,2017,Mar del Plata,84.43294656150411,79.31529491864667,6.061202233573061,927
GRUPO_EDAD,50-64,2017,Mar del Plata,67.28617853105206,63.35269603553403,5.845899680129355,808
GRUPO_EDAD,65+,2017,Mar del Plata,14.6218046369919,13.650191350226649,6.644961486540141,820
GRUPO_EDAD,0-13,2017,Neuquen-Plottier,0.0,0.0,,903
GRUPO_EDAD,14-24,2017,Neuquen-Plottier,28.34577730697603,25.04442242307232,11.64672553569814,898
GRUPO_EDAD,25-34,2017,Neuquen-Plottier,77.0493003728497,70.38255234236269,8.652574388379811,623
GRUPO_EDAD,35-49,2017,Neuquen-Plottier,84.56874069356101,80.78161176764243,4.478166394414505,883
GRUPO_EDAD,50-64,2017,Neuquen-Plottier,58.11800579964326,56.16785084353918,3.3555090703336647,749
GRUPO_EDAD,65+,2017,Neuquen-Plottier,11.618925831202045,11.18840579710145,3.70533421380879,437
GRUPO_EDAD,0-13,2018,Mar del Plata,0.0,0.0,,900
GRUPO_EDAD,14-24,2018,Mar del Plata,42.03801760694482,30.290392145593394,27.945241307979007,779
GRUPO_EDAD,25-34,2018,Mar del Plata,83.04273957027868,74.35625783278854,10.460254300905884,598
GRUPO_EDAD,35-49,2018,Mar del Plata,88.10622220688731,81.97291268776524,6.961267167624199,938
GRUPO_EDAD,50-64,2018,Mar del Plata,70.4427397581611,65.93369166330216,6.401011815183631,849
GRUPO_EDAD,65+,2018,Mar del Plata,16.064408422639882,15.12418057466256,5.852863194465608,799
GRUPO_EDAD,0-13,2018,Neuquen-Plottier,0.0,0.0,,923
GRUPO_EDAD,14-24,2018,Neuquen-Plottier,30.67366663315309,26.534011181878185,13.495795924184122,869
GRUPO_EDAD,25-34,2018,Neuquen-Plottier,77.41045843129513,73.43515377758634,5.135358625006762,639
GRUPO_EDAD,35-49,2018,Neuquen-Plottier,83.61383158716731,80.69890024077569,3.486183196081388,906
GRUPO_EDAD,50-64,2018,Neuquen-Plottier,60.98549271970186,59.6755188978519,2.1480089172531365,706
GRUPO_EDAD,65+,2018,Neuquen-Plottier,9.62361435413562,9.233920132607604,4.04935409075853,453
GRUPO_EDAD,0-13,2019,Mar del Plata,0.0,0.0,,915
GRUPO_EDAD,14-24,2019,Mar del Plata,41.71259413581067,28.004772559377972,32.86254873480621,727
GRUPO_EDAD,25-34,2019,Mar del Plata,87.70091949772227,77.67318327758073,11.434014919766007,577
GRUPO_EDAD,35-49,2019,Mar del Plata,88.37990951675542,81.89254113784682,7.34032023157785,962
GRUPO_EDAD,50-64,2019,Mar del Plata,74.50062991537368,68.94132442730468,7.4620919237647785,861
GRUPO_EDAD,65+,2019,Mar del Plata,18.3572710951526,17.421420724027975,5.097981972776703,857
GRUPO_EDAD,0-13,2019,Neuquen-Plottier,0.0,0.0,,915
GRUPO_EDAD,14-24,2019,Neuquen-Plottier,31.092486747416114,26.80131489323896,13.801314410896277,760
GRUPO_EDAD,25-34,2019,Neuquen-Plottier,81.6707786121376,77.97756924767558,4.522069493179959,703
GRUPO_EDAD,35-49,2019,Neuquen-Plottier,84.53805743176521,81.14705533831022,4.0112136432659735,932
GRUPO_EDAD,50-64,2019,Neuquen-Plottier,62.00748979246819,59.57919866392758,3.916125514301294,731
GRUPO_EDAD,65+,2019,Neuquen-Plottier,9.465900848222878,9.077317069560197,4.105090311986864,493
GRUPO_EDAD,0-13,2020,Mar del Plata,0.13676563815304033,0.13676563815304033,0.0,499
GRUPO_EDAD,14-24,2020,Mar del Plata,32.590952525228985,21.869625002913278,32.89663753772222,454
GRUPO_EDAD,25-34,2020,Mar del Plata,81.11108784274306,67.44359747584744,16.850335423184003,337
GRUPO_EDAD,35-49,2020,Mar del Plata,83.41729433150508,73.12980063103112,12.332566984959826,590
GRUPO_EDAD,50-64,2020,Mar del Plata,66.17378683378526,60.95275599410434,7.889877683432345,527
GRUPO_EDAD,65+,2020,Mar del Plata,11.545506745694667,10.03430979418869,13.08904827472821,580
GRUPO_EDAD,0-13,2020,Neuquen-Plottier,0.0,0.0,,614
GRUPO_EDAD,14-24,2020,Neuquen-Plottier,23.739021683937338,17.388524251029658,26.75130221227546,552
GRUPO_EDAD,25-34,2020,Neuquen-Plottier,81.71828022397176,71.82253778152284,12.109582354556272,528
GRUPO_EDAD,35-49,2020,Neuquen-Plottier,80.08851218606746,74.64722346198606,6.794093903804588,628
GRUPO_EDAD,50-64,2020,Neuquen-Plottier,63.536999681494855,60.6051597834165,4.614382033736873,557
GRUPO_EDAD,65+,2020,Neuquen-Plottier,7.465987747633066,7.465987747633066,0.0,383
GRUPO_EDAD,0-13,2021,Mar del Plata,0.09124970905143559,0.09124970905143559,0.0,683
GRUPO_EDAD,14-24,2021,Mar del Plata,35.292220539570366,28.158010357657,20.21468208245593,664
GRUPO_EDAD,25-34,2021,Mar del Plata,81.21681114691599,70.56233831071575,13.118555980887983,485
GRUPO_EDAD,35-49,2021,Mar del Plata,86.66475373022607,79.02901841409252,8.81065829818475,719
GRUPO_EDAD,50-64,2021,Mar del Plata,73.35662942357503,69.23865136656529,5.613641315540486,763
GRUPO_EDAD,65+,2021,Mar del Plata,13.659930091853875,13.423861419032423,1.7281836088036309,681
GRUPO_EDAD,0-13,2021,Neuquen-Plottier,0.0,0.0,,861
GRUPO_EDAD,14-24,2021,Neuquen-Plottier,28.06643317139306,23.265167777652245,17.106788612649748,825
GRUPO_EDAD,25-34,2021,Neuquen-Plottier,80.65036797915032,73.59928526651957,8.742778104191148,720
GRUPO_EDAD,35-49,2021,Neuquen-Plottier,82.24645913807468,76.762436146667,6.667792205134501,876
GRUPO_EDAD,50-64,2021,Neuquen-Plottier,63.76437331292908,60.883334396055176,4.518258029032849,754
GRUPO_EDAD,65+,2021,Neuquen-Plottier,11.00786332974095,10.390771564283718,5.6059177605337585,525
GRUPO_EDAD,0-13,2022,Mar del Plata,0.0,0.0,,636
GRUPO_EDAD,14-24,2022,Mar del Plata,40.64248415871749,32.2569369820438,20.632467109850776,659
GRUPO_EDAD,25-34,2022,Mar del Plata,82.35184817361106,75.73475232743651,8.035151600028009,461
GRUPO_EDAD,35-49,2022,Mar del Plata,89.67377658564666,85.8775330234609,4.2333932022590846,715
GRUPO_EDAD,50-64,2022,Mar del Plata,73.23655711806568,69.0778596852936,5.678444750028034,745
GRUPO_EDAD,65+,2022,Mar del Plata,12.44497551796837,12.170053404936693,2.2091012765331275,731
GRUPO_EDAD,0-13,2022,Neuquen-Plottier,0.21121586874005144,0.21121586874005144,0.0,792
GRUPO_EDAD,14-24,2022,Neuquen-Plottier,28.393173294326985,23.141586803248348,18.495947728843376,796
GRUPO_EDAD,25-34,2022,Neuquen-Plottier,79.59940338925678,73.02769373981847,8.25597852448886,660
GRUPO_EDAD,35-49,2022,Neuquen-Plottier,85.75742023458542,82.44580222447824,3.861611043159182,923
GRUPO_EDAD,50-64,2022,Neuquen-Plottier,66.14139944030948,63.86678723734409,3.4390143272038896,739
GRUPO_EDAD,65+,2022,Neuquen-Plottier,9.741975507203088,9.456302797754445,2.9323899371069184,527
GRUPO_EDAD,0-13,2023,Mar del Plata,0.0,0.0,,671
GRUPO_EDAD,14-24,2023,Mar del Plata,44.13293814683446,35.083572226811135,20.504789166574923,696
GRUPO_EDAD,25-34,2023,Mar del Plata,85.79012621548175,80.75051718793925,5.874346209591026,429
GRUPO_EDAD,35-49,2023,Mar del Plata,89.83928950834998,85.470615731101,4.86276527915209,857
GRUPO_EDAD,50-64,2023,Mar del Plata,74.23963389467231,70.13277593668464,5.531894141361597,683
GRUPO_EDAD,65+,2023,Mar del Plata,15.085967458696198,14.150136186073182,6.203322890528723,650
GRUPO_EDAD,0-13,2023,Neuquen-Plottier,0.0,0.0,,852
GRUPO_EDAD,14-24,2023,Neuquen-Plottier,29.81042676087149,24.540262786768505,17.67892830377217,838
GRUPO_EDAD,25-34,2023,Neuquen-Plottier,85.38080010124168,81.84707640338965,4.13878025699203,804
GRUPO_EDAD,35-49,2023,Neuquen-Plottier,89.56689593805726,86.53111309645544,3.389402758471504,1037
GRUPO_EDAD,50-64,2023,Neuquen-Plottier,69.2358477888722,66.40861898724563,4.083475384381698,750
GRUPO_EDAD,65+,2023,Neuquen-Plottier,9.642088936363237,9.517712646873767,1.289930950754989,621
GRUPO_EDAD,0-13,2024,Mar del Plata,0.0,0.0,,654
GRUPO_EDAD,14-24,2024,Mar del Plata,39.359915621043214,30.129266034310543,23.45190390041801,630
GRUPO_EDAD,25-34,2024,Mar del Plata,85.88175978224845,79.98914062885632,6.861316265913467,416
GRUPO_EDAD,35-49,2024,Mar del Plata,91.04587107672924,86.69760158435906,4.775910693089699,838
GRUPO_EDAD,50-64,2024,Mar del Plata,72.7971572255899,69.90765901461963,3.969245944612973,606
GRUPO_EDAD,65+,2024,Mar del Plata,16.796811631057658,15.716484200649775,6.431741059775516,603
GRUPO_EDAD,0-13,2024,Neuquen-Plottier,0.0,0.0,,794
GRUPO_EDAD,14-24,2024,Neuquen-Plottier,29.889508604054875,24.481686095177675,18.092711327290147,815
GRUPO_EDAD,25-34,2024,Neuquen-Plottier,86.37895710792412,81.60272085326609,5.5293979165440525,729
GRUPO_EDAD,35-49,2024,Neuquen-Plottier,90.05210548702681,87.41032184885864,2.933616736533428,987
GRUPO_EDAD,50-64,2024,Neuquen-Plottier,68.64944841895216,65.6608201721069,4.353462869222701,751
GRUPO_EDAD,65+,2024,Neuquen-Plottier,12.331745775670386,11.685733725195872,5.238609862920198,655
GRUPO_EDAD,0-13,2025,Mar del Plata,0.13595561232981232,0.13595561232981232,0.0,511
GRUPO_EDAD,14-24,2025,Mar del Plata,35.534806892786655,27.98269804163109,21.252708292298603,546
GRUPO_EDAD,25-34,2025,Mar del Plata,86.7918033635818,80.37017067695054,7.398893026488045,432
GRUPO_EDAD,35-49,2025,Mar del Plata,89.87954458942872,84.63359149072816,5.836648508472263,706
GRUPO_EDAD,50-64,2025,Mar del Plata,75.26016789193629,72.79209181907544,3.27939219642014,623
GRUPO_EDAD,65+,2025,Mar del Plata,17.42023076311657,16.761153085183857,3.7834038302647643,606
GRUPO_EDAD,0-13,2025,Neuquen-Plottier,0.0,0.0,,629
GRUPO_EDAD,14-24,2025,Neuquen-Plottier,26.613455639276886,23.606720586796236,11.297800230208468,736
GRUPO_EDAD,25-34,2025,Neuquen-Plottier,82.59672741513471,79.00119756400724,4.353114177340443,599
GRUPO_EDAD,35-49,2025,Neuquen-Plottier,85.80367671156971,84.0602626608688,2.0318640383691537,917
GRUPO_EDAD,50-64,2025,Neuquen-Plottier,68.65757613277276,65.66232955248948,4.362587130211152,759
GRUPO_EDAD,65+,2025,Neuquen-Plottier,9.428625306430323,9.228603755286766,2.1214285714285714,605
NIVEL_ED_DESC,Primaria completa,2016,Mar del Plata,49.791608113573574,43.885343332487885,11.861968321275409,626
NIVEL_ED_DESC,Primaria incompleta,2016,Mar del Plata,11.620226376374772,9.589332093500497,17.477235099337747,521
NIVEL_ED_DESC,Secundaria completa,2016,Mar del Plata,67.45018636106165,59.021534012849685,12.496114248066403,656
NIVEL_ED_DESC,Secundaria incompleta,2016,Mar del Plata,40.695873670334684,34.37641700881364,15.528494885533368,834
NIVEL_ED_DESC,Sin instruccion,2016,Mar del Plata,1.2684402625699098,0.917329336497495,27.680525164113785,303
NIVEL_ED_DESC,Superior/univ. completa,2016,Mar del Plata,72.48894637618673,70.88479714592474,2.2129570237331624,472
