ANO4,TRIMESTRE,FECHA,PERIODO,AGLOMERADO_NOMBRE,no_respuesta_p21,ocupados,ingreso_mediano_real_original,ingreso_mediano_real_imputado
2016,2,2016-04-01,2016T2,Mar del Plata,182,513,,
2016,2,2016-04-01,2016T2,Neuquen-Plottier,213,453,,
2016,3,2016-07-01,2016T3,Mar del Plata,204,513,,
2016,3,2016-07-01,2016T3,Neuquen-Plottier,223,449,,
2016,4,2016-10-01,2016T4,Mar del Plata,177,523,985553.0633333335,985553.0633333335
2016,4,2016-10-01,2016T4,Neuquen-Plottier,231,432,1182663.676,1182663.676
2017,1,2017-01-01,2017T1,Mar del Plata,154,497,1044355.3320698711,1044355.3320698711
2017,1,2017-01-01,2017T1,Neuquen-Plottier,224,435,1139296.7258944048,1139296.7258944048
2017,2,2017-04-01,2017T2,Mar del Plata,165,452,1044016.5001380738,1044016.5001380738
2017,2,2017-04-01,2017T2,Neuquen-Plottier,72,470,1249250.5129857294,1249250.5129857294
2017,3,2017-07-01,2017T3,Mar del Plata,195,507,1023245.4462866882,1023245.4462866882
2017,3,2017-07-01,2017T3,Neuquen-Plottier,65,476,1304637.9440155274,1304637.9440155274
2017,4,2017-10-01,2017T4,Mar del Plata,168,541,1012159.6362131595,1012159.6362131595
2017,4,2017-10-01,2017T4,Neuquen-Plottier,67,466,1295564.3343528442,1295564.3343528442
2018,1,2018-01-01,2018T1,Mar del Plata,183,565,1098834.8533286925,1098834.8533286925
2018,1,2018-01-01,2018T1,Neuquen-Plottier,58,453,1212507.424362695,1212507.424362695
2018,2,2018-04-01,2018T2,Mar del Plata,181,530,1053076.8168648481,1053076.8168648481
2018,2,2018-04-01,2018T2,Neuquen-Plottier,40,488,1123281.9379891714,1123281.9379891714
2018,3,2018-07-01,2018T3,Mar del Plata,116,500,944341.3761186003,944341.3761186003
2018,3,2018-07-01,2018T3,Neuquen-Plottier,65,467,1259121.8348248005,1259121.8348248005
2018,4,2018-10-01,2018T4,Mar del Plata,115,516,879236.3530457607,879236.3530457607
2018,4,2018-10-01,2018T4,Neuquen-Plottier,47,478,1208949.985437921,1208949.985437921
2019,1,2019-01-01,2019T1,Mar del Plata,167,582,988352.8973744311,988352.8973744311
2019,1,2019-01-01,2019T1,Neuquen-Plottier,54,453,1247920.3249677161,1247920.3249677161
2019,2,2019-04-01,2019T2,Mar del Plata,149,568,898590.825807119,898590.825807119
2019,2,2019-04-01,2019T2,Neuquen-Plottier,46,520,1123238.5322588987,1123238.5322588987
2019,3,2019-07-01,2019T3,Mar del Plata,133,530,816968.9362664528,816968.9362664528
2019,3,2019-07-01,2019T3,Neuquen-Plottier,30,518,1184604.9575863564,1184604.9575863564
2019,4,2019-10-01,2019T4,Mar del Plata,131,483,902823.0533996656,902823.0533996656
2019,4,2019-10-01,2019T4,Neuquen-Plottier,22,500,1083387.6640795988,1083387.6640795988
2020,1,2020-01-01,2020T1,Mar del Plata,129,464,895909.6691152459,895909.6691152459
2020,1,2020-01-01,2020T1,Neuquen-Plottier,18,414,1161364.3858901337,1161364.3858901337
2020,2,2020-04-01,2020T2,Mar del Plata,67,199,936632.9333643646,936632.9333643646
2020,2,2020-04-01,2020T2,Neuquen-Plottier,21,218,1030296.226700801,1030296.226700801
2020,3,2020-07-01,2020T3,Mar del Plata,75,202,759702.1020070161,759702.1020070161
2020,3,2020-07-01,2020T3,Neuquen-Plottier,72,383,905798.6600852883,905798.6600852883
2020,4,2020-10-01,2020T4,Mar del Plata,121,319,926802.0238398146,926802.0238398146
2020,4,2020-10-01,2020T4,Neuquen-Plottier,55,336,926802.0238398146,926802.0238398146
2021,1,2021-01-01,2021T1,Mar del Plata,151,396,707768.0307154546,707768.0307154546
2021,1,2021-01-01,2021T1,Neuquen-Plottier,78,432,943690.7076206063,943690.7076206063
2021,2,2021-04-01,2021T2,Mar del Plata,201,398,736020.8319434371,736020.8319434371
2021,2,2021-04-01,2021T2,Neuquen-Plottier,78,483,1051458.3313477673,1051458.3313477673
2021,3,2021-07-01,2021T3,Mar del Plata,200,427,769467.5351435341,769467.5351435341
2021,3,2021-07-01,2021T3,Neuquen-Plottier,95,474,1058017.8608223593,1058017.8608223593
2021,4,2021-10-01,2021T4,Mar del Plata,188,486,699612.1792219272,699612.1792219272
2021,4,2021-10-01,2021T4,Neuquen-Plottier,96,504,1049418.2688328908,1049418.2688328908
2022,1,2022-01-01,2022T1,Mar del Plata,178,474,772166.256712379,772166.256712379
2022,1,2022-01-01,2022T1,Neuquen-Plottier,90,515,926599.5080548548,926599.5080548548
2022,2,2022-04-01,2022T2,Mar del Plata,128,429,718550.6569773066,718550.6569773066
2022,2,2022-04-01,2022T2,Neuquen-Plottier,125,505,914519.0179711174,914519.0179711174
2022,3,2022-07-01,2022T3,Mar del Plata,129,447,703914.8533869421,703914.8533869421
2022,3,2022-07-01,2022T3,Neuquen-Plottier,122,455,866356.7426300825,866356.7426300825
2022,4,2022-10-01,2022T4,Mar del Plata,125,432,729460.1958284846,729460.1958284846
2022,4,2022-10-01,2022T4,Neuquen-Plottier,158,470,1094190.2937427268,1094190.2937427268
2023,1,2023-01-01,2023T1,Mar del Plata,187,498,688155.6071945104,688155.6071945104
2023,1,2023-01-01,2023T1,Neuquen-Plottier,141,569,917540.8095926805,917540.8095926805
2023,2,2023-04-01,2023T2,Mar del Plata,164,428,736034.2445154679,736034.2445154679
2023,2,2023-04-01,2023T2,Neuquen-Plottier,116,594,981378.9926872905,981378.9926872905
2023,3,2023-07-01,2023T3,Mar del Plata,199,482,719114.5417294387,719114.5417294387
2023,3,2023-07-01,2023T3,Neuquen-Plottier,103,589,958819.388972585,958819.388972585
2023,4,2023-10-01,2023T4,Mar del Plata,195,479,668509.3733240119,668509.3733240119
2023,4,2023-10-01,2023T4,Neuquen-Plottier,126,564,1002764.0599860178,1002764.0599860178
2024,1,2024-01-01,2024T1,Mar del Plata,171,478,614076.6900232862,614076.6900232862
2024,1,2024-01-01,2024T1,Neuquen-Plottier,136,559,818768.9200310482,818768.9200310482
2024,2,2024-04-01,2024T2,Mar del Plata,153,440,647834.6266394714,647834.6266394714
2024,2,2024-04-01,2024T2,Neuquen-Plottier,177,557,809793.2832993392,809793.2832993392
2024,3,2024-07-01,2024T3,Mar del Plata,157,430,860601.7585272266,860601.7585272266
2024,3,2024-07-01,2024T3,Neuquen-Plottier,129,540,1004035.3849484312,1004035.3849484312
2024,4,2024-10-01,2024T4,Mar del Plata,193,422,854169.0280081377,854169.0280081377
2024,4,2024-10-01,2024T4,Neuquen-Plottier,145,574,1051284.9575484772,1051284.9575484772
2025,1,2025-01-01,2025T1,Mar del Plata,184,380,974571.5023095879,974571.5023095879
2025,1,2025-01-01,2025T1,Neuquen-Plottier,100,519,1218214.377886985,1218214.377886985
2025,2,2025-04-01,2025T2,Mar del Plata,171,435,904327.0484101282,904327.0484101282
2025,2,2025-04-01,2025T2,Neuquen-Plottier,85,487,1130408.8105126603,1130408.8105126603
2025,3,2025-07-01,2025T3,Mar del Plata,120,412,856962.0108564922,856962.0108564922
2025,3,2025-07-01,2025T3,Neuquen-Plottier,98,475,1178322.7649276769,1178322.7649276769
2025,4,2025-10-01,2025T4,Mar del Plata,137,414,1000000.0,1000000.0
2025,4,2025-10-01,2025T4,Neuquen-Plottier,104,470,1300000.0,1300000.0
